"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.770219198790627,0.80952380952381,0.619047619047619,0.0876193,0.428571428571429,1,1,1
"2","bioclim",0.745653817082389,0.73015873015873,0.682539682539683,0.0876193,0.412698412698413,1,2,2
"3","bioclim",0.725245653817082,0.80952380952381,0.603174603174603,0.07007544,0.412698412698413,1,3,3
"4","bioclim",0.745779793398841,0.888888888888889,0.555555555555556,0.01744386,0.444444444444444,1,4,4
"5","bioclim",0.710002519526329,0.777777777777778,0.634920634920635,0.07007544,0.412698412698413,1,5,5
"6","bioclim",0.697908793146888,0.904761904761905,0.46031746031746,0.01744386,0.365079365079365,1,6,6
"7","bioclim",0.682665658856135,0.80952380952381,0.476190476190476,0.05253158,0.285714285714286,1,7,7
"8","bioclim",0.73267825648778,0.666666666666667,0.746031746031746,0.12270702,0.412698412698413,1,8,8
"9","bioclim",0.705593348450491,0.952380952380952,0.380952380952381,0.01744386,0.333333333333333,1,9,9
"10","bioclim",0.751574703955656,0.873015873015873,0.587301587301587,0.05253158,0.46031746031746,1,10,10
"11","enfa",0.843789367598891,0.936507936507937,0.682539682539683,0.99291429,0.619047619047619,1,1,11
"12","enfa",0.850340136054422,0.873015873015873,0.777777777777778,0.99412677,0.650793650793651,1,2,12
"13","enfa",0.829428067523306,0.857142857142857,0.714285714285714,0.99280712,0.571428571428571,1,3,13
"14","enfa",0.80851599899219,0.777777777777778,0.714285714285714,0.99481817,0.492063492063492,1,4,14
"15","enfa",0.878054925673973,0.873015873015873,0.73015873015873,0.99349453,0.603174603174603,1,5,15
"16","enfa",0.833459309649786,0.904761904761905,0.698412698412698,0.99052193,0.603174603174603,1,6,16
"17","enfa",0.764424288233812,0.761904761904762,0.714285714285714,0.9938015,0.476190476190476,1,7,17
"18","enfa",0.783824640967498,0.73015873015873,0.80952380952381,0.99557186,0.53968253968254,1,8,18
"19","enfa",0.877551020408163,0.841269841269841,0.841269841269841,0.99481768,0.682539682539683,1,9,19
"20","enfa",0.871504157218443,0.825396825396825,0.825396825396825,0.99526961,0.650793650793651,1,10,20
"21","glm",0.737969261778786,0.587301587301587,0.80952380952381,0.62903176,0.396825396825397,1,1,21
"22","glm",0.670445956160242,0.793650793650794,0.53968253968254,0.62016477,0.333333333333333,1,2,22
"23","glm",0.749055177626606,0.793650793650794,0.650793650793651,0.62215044,0.444444444444444,1,3,23
"24","glm",0.725875535399345,0.698412698412698,0.714285714285714,0.6216976,0.412698412698413,1,4,24
"25","glm",0.799949609473419,0.761904761904762,0.746031746031746,0.62343276,0.507936507936508,1,5,25
"26","glm",0.742504409171076,0.841269841269841,0.555555555555556,0.62107108,0.396825396825397,1,6,26
"27","glm",0.773242630385488,0.825396825396825,0.666666666666667,0.62265186,0.492063492063492,1,7,27
"28","glm",0.721340388007055,0.746031746031746,0.634920634920635,0.62384793,0.380952380952381,1,8,28
"29","glm",0.712270093222474,0.650793650793651,0.746031746031746,0.62335732,0.396825396825397,1,9,29
"30","glm",0.764172335600907,0.825396825396825,0.666666666666667,0.62272914,0.492063492063492,1,10,30
"31","gam",0.858654572940287,0.857142857142857,0.777777777777778,0.91521808,0.634920634920635,1,1,31
"32","gam",0.857646762408667,0.873015873015873,0.80952380952381,0.9138912,0.682539682539683,1,2,32
"33","gam",0.852859662383472,0.825396825396825,0.793650793650794,0.91482103,0.619047619047619,1,3,33
"34","gam",0.896447467876039,0.825396825396825,0.873015873015873,0.9144627,0.698412698412698,1,4,34
"35","gam",0.901234567901235,0.841269841269841,0.873015873015873,0.91375767,0.714285714285714,1,5,35
"36","gam",0.904257999496095,0.920634920634921,0.777777777777778,0.91178314,0.698412698412698,1,6,36
"37","gam",0.877047115142353,0.873015873015873,0.80952380952381,0.91452371,0.682539682539683,1,7,37
"38","gam",0.854875283446712,0.857142857142857,0.793650793650794,0.91446354,0.650793650793651,1,8,38
