"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.714345725687881,0.920289855072464,0.398550724637681,0.02576207,0.318840579710145,1,1,1
"2","bioclim",0.774705944129385,0.58695652173913,0.826086956521739,0.1636931,0.41304347826087,1,2,2
"3","bioclim",0.757666456626759,0.623188405797101,0.753623188405797,0.13783103,0.376811594202898,1,3,3
"4","bioclim",0.779326822096198,0.789855072463768,0.608695652173913,0.07748621,0.398550724637681,1,4,4
"5","bioclim",0.719412938458307,0.695652173913043,0.623188405797101,0.10334828,0.318840579710145,1,5,5
"6","bioclim",0.740469439193447,0.565217391304348,0.811594202898551,0.19817586,0.376811594202898,1,6,6
"7","bioclim",0.764519008611636,0.978260869565217,0.391304347826087,0.00852069,0.369565217391304,1,7,7
"8","bioclim",0.750210039907582,0.471014492753623,0.905797101449275,0.22403793,0.376811594202898,1,8,8
"9","bioclim",0.776465028355388,0.695652173913043,0.753623188405797,0.13783103,0.449275362318841,1,9,9
"10","bioclim",0.740233144297416,0.58695652173913,0.760869565217391,0.13783103,0.347826086956522,1,10,10
"11","enfa",0.775414828817475,0.855072463768116,0.673913043478261,0.99110489,0.528985507246377,1,1,11
"12","enfa",0.785129174543163,0.847826086956522,0.652173913043478,0.99192955,0.5,1,2,12
"13","enfa",0.781716026044948,0.942028985507246,0.58695652173913,0.98665537,0.528985507246377,1,3,13
"14","enfa",0.793530770846461,0.942028985507246,0.594202898550725,0.98740698,0.536231884057971,1,4,14
"15","enfa",0.807550934677589,0.956521739130435,0.644927536231884,0.98911067,0.601449275362319,1,5,15
"16","enfa",0.760239445494644,0.956521739130435,0.5,0.98610535,0.456521739130435,1,6,16
"17","enfa",0.782871245536652,0.934782608695652,0.565217391304348,0.98713206,0.5,1,7,17
"18","enfa",0.806553245116572,0.847826086956522,0.659420289855073,0.99210705,0.507246376811594,1,8,18
"19","enfa",0.813222012182315,0.927536231884058,0.630434782608696,0.98889293,0.557971014492754,1,9,19
"20","enfa",0.780560806553245,0.884057971014493,0.630434782608696,0.99091735,0.514492753623188,1,10,20
"21","glm",0.877914303717706,0.753623188405797,0.884057971014493,0.81191524,0.63768115942029,1,1,21
"22","glm",0.860901071203529,0.855072463768116,0.804347826086957,0.80747808,0.659420289855073,1,2,22
"23","glm",0.851869355177484,0.811594202898551,0.789855072463768,0.80753423,0.601449275362319,1,3,23
"24","glm",0.866257088846881,0.811594202898551,0.855072463768116,0.80807336,0.666666666666667,1,4,24
"25","glm",0.875288804872926,0.753623188405797,0.905797101449275,0.81150095,0.659420289855073,1,5,25
"26","glm",0.866572148708255,0.804347826086957,0.855072463768116,0.81165507,0.659420289855073,1,6,26
"27","glm",0.862161310649023,0.760869565217391,0.869565217391304,0.80845521,0.630434782608696,1,7,27
"28","glm",0.886578449905482,0.768115942028985,0.891304347826087,0.809372,0.659420289855072,1,8,28
"29","glm",0.855965133375341,0.782608695652174,0.847826086956522,0.80835056,0.630434782608696,1,9,29
"30","glm",0.841577399705944,0.898550724637681,0.673913043478261,0.8049491,0.572463768115942,1,10,30
"31","gam",0.91220331863054,0.826086956521739,0.884057971014493,0.82378744,0.710144927536232,1,1,31
"32","gam",0.911888258769166,0.855072463768116,0.884057971014493,0.82324564,0.739130434782609,1,2,32
"33","gam",0.880224742701113,0.855072463768116,0.804347826086957,0.82054179,0.659420289855073,1,3,33
"34","gam",0.912885948330183,0.818840579710145,0.869565217391304,0.82286235,0.688405797101449,1,4,34
"35","gam",0.916929216551145,0.804347826086957,0.920289855072464,0.82466068,0.72463768115942,1,5,35
"36","gam",0.909735349716446,0.847826086956522,0.86231884057971,0.82405389,0.710144927536232,1,6,36
"37","gam",0.909682839739551,0.731884057971015,0.963768115942029,0.82550952,0.695652173913043,1,7,37
"38","gam",0.922022684310019,0.833333333333333,0.934782608695652,0.82310086,0.768115942028986,1,8,38
"39","gam",0.908317580340265,0.818840579710145,0.884057971014493,0.8221238,0.702898550724638,1,9,39
"40","gam",0.898655744591472,0.77536231884058,0.884057971014493,0.82363652,0.659420289855073,1,10,40
"41","maxent",0.913778617937408,0.804347826086957,0.927536231884058,0.44574525,0.731884057971015,1,1,41
"42","maxent",0.919817265280403,0.797101449275362,0.934782608695652,0.48324542,0.731884057971015,1,2,42
"43","maxent",0.893614786809494,0.811594202898551,0.855072463768116,0.2861384,0.666666666666667,1,3,43
"44","maxent",0.907950010501995,0.855072463768116,0.86231884057971,0.24205212,0.717391304347826,1,4,44
"45","maxent",0.920394875026255,0.855072463768116,0.876811594202899,0.26780988,0.731884057971015,1,5,45
"46","maxent",0.906007141356858,0.811594202898551,0.891304347826087,0.57701881,0.702898550724638,1,6,46
"47","maxent",0.899863474060071,0.782608695652174,0.905797101449275,0.28137408,0.688405797101449,1,7,47
"48","maxent",0.927011132115102,0.847826086956522,0.927536231884058,0.33716168,0.77536231884058,1,8,48
"49","maxent",0.920394875026255,0.811594202898551,0.891304347826087,0.2683367,0.702898550724638,1,9,49
"50","maxent",0.901858853182105,0.804347826086957,0.855072463768116,0.30865921,0.659420289855073,1,10,50
"51","rf",0.911100609115732,0.869565217391304,0.847826086956522,0.50116667,0.717391304347826,1,1,51
"52","rf",0.937618147448015,0.91304347826087,0.898550724637681,0.4969,0.811594202898551,1,2,52
