"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.670138888888889,0.583333333333333,0.75,0.08323333,0.333333333333333,1,1,1
"2","bioclim",0.46969696969697,0.454545454545455,0.75,0.2499,0.204545454545455,1,2,2
"3","bioclim",0.684027777777778,0.833333333333333,0.5,0.16656667,0.333333333333333,1,3,3
"4","bioclim",0.565972222222222,0.583333333333333,0.5,0.16656667,0.0833333333333335,1,4,4
"5","bioclim",0.739583333333333,0.833333333333333,0.583333333333333,0.16656667,0.416666666666667,1,5,5
"6","bioclim",0.636363636363636,0.272727272727273,0.916666666666667,0.16656667,0.189393939393939,1,6,6
"7","bioclim",0.513888888888889,0.416666666666667,0.833333333333333,0.2499,0.25,1,7,7
"8","bioclim",0.923611111111111,0.916666666666667,0.833333333333333,0.16656667,0.75,1,8,8
"9","bioclim",0.809027777777778,0.666666666666667,0.833333333333333,0.16656667,0.5,1,9,9
"10","bioclim",0.689393939393939,0.727272727272727,0.666666666666667,0.08323333,0.393939393939394,1,10,10
"11","enfa",0.506944444444444,0.333333333333333,0.833333333333333,0.99684778,0.166666666666667,1,1,11
"12","enfa",0.386363636363636,1,0.0833333333333333,0.96294498,0.0833333333333333,1,2,12
"13","enfa",0.777777777777778,0.833333333333333,0.75,0.99359111,0.583333333333333,1,3,13
"14","enfa",0.5,0.583333333333333,0.666666666666667,0.99521504,0.25,1,4,14
"15","enfa",0.604166666666667,0.583333333333333,0.75,0.99759407,0.333333333333333,1,5,15
"16","enfa",0.598484848484849,0.909090909090909,0.416666666666667,0.98600913,0.325757575757576,1,6,16
"17","enfa",0.493055555555556,0.583333333333333,0.666666666666667,0.99618283,0.25,1,7,17
"18","enfa",0.597222222222222,0.833333333333333,0.5,0.99153287,0.333333333333333,1,8,18
"19","enfa",0.659722222222222,0.583333333333333,0.75,0.9986142,0.333333333333333,1,9,19
"20","enfa",0.712121212121212,0.818181818181818,0.666666666666667,0.99307347,0.484848484848485,1,10,20
"21","glm",0.75,0.833333333333333,0.666666666666667,0.6477773,0.5,1,1,21
"22","glm",0.863636363636364,1,0.666666666666667,0.65391111,0.666666666666667,1,2,22
"23","glm",0.493055555555556,0.583333333333333,0.583333333333333,0.65880997,0.166666666666667,1,3,23
"24","glm",0.715277777777778,0.833333333333333,0.583333333333333,0.65420034,0.416666666666667,1,4,24
"25","glm",0.8125,0.833333333333333,0.666666666666667,0.65229731,0.5,1,5,25
"26","glm",0.628787878787879,0.818181818181818,0.5,0.64718289,0.318181818181818,1,6,26
"27","glm",0.777777777777778,1,0.416666666666667,0.65015148,0.416666666666667,1,7,27
"28","glm",0.791666666666667,0.833333333333333,0.75,0.65205998,0.583333333333333,1,8,28
"29","glm",0.875,0.916666666666667,0.75,0.65664139,0.666666666666667,1,9,29
"30","glm",0.598484848484849,0.909090909090909,0.333333333333333,0.64751853,0.242424242424242,1,10,30
"31","gam",0.736111111111111,0.833333333333333,0.583333333333333,0.54259558,0.416666666666667,1,1,31
"32","gam",0.916666666666667,1,0.75,0.54654113,0.75,1,2,32
"33","gam",0.541666666666667,0.75,0.416666666666667,0.54358095,0.166666666666667,1,3,33
"34","gam",0.666666666666667,0.833333333333333,0.5,0.54511887,0.333333333333333,1,4,34
"35","gam",0.791666666666667,1,0.583333333333333,0.54255179,0.583333333333333,1,5,35
"36","gam",0.606060606060606,0.818181818181818,0.5,0.54186575,0.318181818181818,1,6,36
"37","gam",0.729166666666667,0.833333333333333,0.583333333333333,0.54337145,0.416666666666667,1,7,37
"38","gam",0.840277777777778,0.833333333333333,0.75,0.54423969,0.583333333333333,1,8,38
"39","gam",0.916666666666667,1,0.75,0.54631772,0.75,1,9,39
"40","gam",0.560606060606061,0.727272727272727,0.583333333333333,0.54487638,0.310606060606061,1,10,40
"41","maxent",0.722222222222222,0.75,0.833333333333333,0.31058644,0.583333333333333,1,1,41
"42","maxent",0.863636363636364,0.727272727272727,0.916666666666667,0.77582272,0.643939393939394,1,2,42
"43","maxent",0.715277777777778,0.833333333333333,0.583333333333333,0.28047876,0.416666666666667,1,3,43
"44","maxent",0.798611111111111,0.75,0.833333333333333,0.42874663,0.583333333333333,1,4,44
"45","maxent",0.847222222222222,0.583333333333333,1,0.47240873,0.583333333333333,1,5,45
"46","maxent",0.71969696969697,0.909090909090909,0.666666666666667,0.1674944,0.575757575757576,1,6,46
"47","maxent",0.777777777777778,1,0.416666666666667,0.19231309,0.416666666666667,1,7,47
"48","maxent",0.895833333333333,1,0.75,0.16148679,0.75,1,8,48
"49","maxent",0.895833333333333,0.916666666666667,0.75,0.21609983,0.666666666666667,1,9,49
"50","maxent",0.833333333333333,1,0.583333333333333,0.11686138,0.583333333333333,1,10,50
"51","rf",0.756944444444444,1,0.5,0.26210353,0.5,1,1,51
"52","rf",0.878787878787879,0.818181818181818,0.833333333333333,0.66960563,0.651515151515152,1,2,52
"53","rf",0.465277777777778,0.416666666666667,0.833333333333333,0.76393701,0.25,1,3,53
"54","rf",0.694444444444444,0.833333333333333,0.5,0.50032052,0.333333333333333,1,4,54
"55","rf",0.826388888888889,0.916666666666667,0.666666666666667,0.39784786,0.583333333333333,1,5,55
"56","rf",0.621212121212121,0.909090909090909,0.416666666666667,0.26415568,0.325757575757576,1,6,56
"57","rf",0.791666666666667,0.75,0.75,0.5881254,0.5,1,7,57
"58","rf",0.868055555555556,1,0.666666666666667,0.33345761,0.666666666666667,1,8,58
"59","rf",0.951388888888889,0.833333333333333,1,0.62375198,0.833333333333333,1,9,59
"60","rf",0.53030303030303,0.818181818181818,0.416666666666667,0.36622464,0.234848484848485,1,10,60
