"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.573333333333333,0.666666666666667,0.6,0.06656667,0.266666666666667,1,1,1
"2","bioclim",0.642222222222222,0.933333333333333,0.333333333333333,0.06656667,0.266666666666667,1,2,2
"3","bioclim",0.546666666666667,0.6,0.6,0.06656667,0.2,1,3,3
"4","bioclim",0.522222222222222,0.533333333333333,0.6,0.06656667,0.133333333333333,1,4,4
"5","bioclim",0.651111111111111,0.733333333333333,0.6,0.13323333,0.333333333333333,1,5,5
"6","bioclim",0.555555555555556,0.866666666666667,0.266666666666667,0.06656667,0.133333333333333,1,6,6
"7","bioclim",0.542222222222222,0.933333333333333,0.333333333333333,0.06656667,0.266666666666667,1,7,7
"8","bioclim",0.268888888888889,1,0,-1e-04,0,1,8,8
"9","bioclim",0.337777777777778,0.133333333333333,0.933333333333333,0.46656667,0.0666666666666667,1,9,9
"10","bioclim",0.531111111111111,0.666666666666667,0.533333333333333,0.13323333,0.2,1,10,10
"11","enfa",0.346666666666667,1,0.0666666666666667,0.91603098,0.0666666666666667,1,1,11
"12","enfa",0.608888888888889,0.533333333333333,0.733333333333333,0.99370087,0.266666666666667,1,2,12
"13","enfa",0.76,0.8,0.666666666666667,0.99570137,0.466666666666667,1,3,13
"14","enfa",0.417777777777778,1,0.133333333333333,0.92386982,0.133333333333333,1,4,14
"15","enfa",0.657777777777778,0.933333333333333,0.333333333333333,0.985194,0.266666666666667,1,5,15
"16","enfa",0.631111111111111,0.6,0.666666666666667,0.99509582,0.266666666666667,1,6,16
"17","enfa",0.573333333333333,0.866666666666667,0.4,0.98693459,0.266666666666667,1,7,17
"18","enfa",0.697777777777778,0.666666666666667,0.733333333333333,0.99639459,0.4,1,8,18
"19","enfa",0.533333333333333,0.4,0.866666666666667,0.99915291,0.266666666666667,1,9,19
"20","enfa",0.622222222222222,1,0.266666666666667,0.98726125,0.266666666666667,1,10,20
"21","glm",0.591111111111111,0.933333333333333,0.4,0.50401087,0.333333333333333,1,1,21
"22","glm",0.635555555555556,0.8,0.6,0.5139299,0.4,1,2,22
"23","glm",0.848888888888889,0.933333333333333,0.733333333333333,0.51365063,0.666666666666667,1,3,23
"24","glm",0.777777777777778,0.8,0.8,0.5158108,0.6,1,4,24
"25","glm",0.804444444444444,0.933333333333333,0.6,0.50974484,0.533333333333333,1,5,25
"26","glm",0.764444444444444,0.933333333333333,0.533333333333333,0.51048043,0.466666666666667,1,6,26
"27","glm",0.648888888888889,0.866666666666667,0.533333333333333,0.51236025,0.4,1,7,27
"28","glm",0.817777777777778,0.533333333333333,1,0.52208788,0.533333333333333,1,8,28
"29","glm",0.617777777777778,0.933333333333333,0.333333333333333,0.51139611,0.266666666666667,1,9,29
"30","glm",0.866666666666667,0.733333333333333,0.866666666666667,0.51728188,0.6,1,10,30
"31","gam",0.553333333333333,0.866666666666667,0.4,0.60763736,0.266666666666667,1,1,31
"32","gam",0.622222222222222,0.4,0.866666666666667,0.61197439,0.266666666666667,1,2,32
"33","gam",0.755555555555556,0.8,0.666666666666667,0.60893076,0.466666666666667,1,3,33
"34","gam",0.737777777777778,0.8,0.733333333333333,0.610512,0.533333333333333,1,4,34
"35","gam",0.777777777777778,1,0.466666666666667,0.60762674,0.466666666666667,1,5,35
"36","gam",0.64,0.533333333333333,0.8,0.6111077,0.333333333333333,1,6,36
"37","gam",0.755555555555556,0.933333333333333,0.6,0.60866357,0.533333333333333,1,7,37
"38","gam",0.804444444444444,0.733333333333333,0.866666666666667,0.61195828,0.6,1,8,38
"39","gam",0.568888888888889,0.8,0.466666666666667,0.61015893,0.266666666666667,1,9,39
"40","gam",0.853333333333333,0.733333333333333,0.866666666666667,0.6118295,0.6,1,10,40
"41","maxent",0.76,0.8,0.8,0.51011343,0.6,1,1,41
"42","maxent",0.737777777777778,0.866666666666667,0.533333333333333,0.25078093,0.4,1,2,42
"43","maxent",0.786666666666667,0.933333333333333,0.533333333333333,0.24247828,0.466666666666667,1,3,43
"44","maxent",0.733333333333333,0.733333333333333,0.8,0.53342803,0.533333333333333,1,4,44
"45","maxent",0.786666666666667,0.933333333333333,0.533333333333333,0.18342182,0.466666666666667,1,5,45
"46","maxent",0.622222222222222,0.8,0.466666666666667,0.13201286,0.266666666666667,1,6,46
"47","maxent",0.808888888888889,0.933333333333333,0.533333333333333,0.20425117,0.466666666666667,1,7,47
"48","maxent",0.728888888888889,0.8,0.666666666666667,0.61344047,0.466666666666667,1,8,48
"49","maxent",0.622222222222222,1,0.266666666666667,0.13896486,0.266666666666667,1,9,49
"50","maxent",0.857777777777778,0.8,0.8,0.62430658,0.6,1,10,50
"51","rf",0.542222222222222,0.933333333333333,0.4,0.2670254,0.333333333333333,1,1,51
"52","rf",0.657777777777778,1,0.333333333333333,0.30084827,0.333333333333333,1,2,52
"53","rf",0.84,0.933333333333333,0.6,0.37996231,0.533333333333333,1,3,53
"54","rf",0.724444444444444,0.666666666666667,0.8,0.49930091,0.466666666666667,1,4,54
"55","rf",0.871111111111111,0.733333333333333,1,0.58673373,0.733333333333333,1,5,55
"56","rf",0.671111111111111,0.466666666666667,0.933333333333333,0.66749098,0.4,1,6,56
"57","rf",0.764444444444444,1,0.533333333333333,0.29889695,0.533333333333333,1,7,57
"58","rf",0.888888888888889,0.8,0.866666666666667,0.60953336,0.666666666666667,1,8,58
"59","rf",0.697777777777778,0.733333333333333,0.733333333333333,0.7259621,0.466666666666667,1,9,59
"60","rf",0.928888888888889,0.866666666666667,0.866666666666667,0.57731947,0.733333333333333,1,10,60
