"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.431952662721893,0.846153846153846,0.307692307692308,0.03693704,0.153846153846154,1,1,1
"2","bioclim",0.474112426035503,0.192307692307692,0.923076923076923,0.33323333,0.115384615384615,1,2,2
"3","bioclim",0.469674556213018,0.230769230769231,0.884615384615385,0.2961963,0.115384615384615,1,3,3
"4","bioclim",0.531065088757396,0.615384615384615,0.538461538461538,0.11101111,0.153846153846154,1,4,4
"5","bioclim",0.474112426035503,0.230769230769231,0.807692307692308,0.2961963,0.0384615384615385,1,5,5
"6","bioclim",0.453402366863905,0.538461538461538,0.576923076923077,0.18508519,0.115384615384615,1,6,6
"7","bioclim",0.345414201183432,0.0384615384615385,1,0.48138148,0.0384615384615385,1,7,7
"8","bioclim",0.418639053254438,0.730769230769231,0.307692307692308,0.07397407,0.0384615384615383,1,8,8
"9","bioclim",0.492603550295858,0.230769230769231,0.846153846153846,0.33323333,0.0769230769230769,1,9,9
"10","bioclim",0.545118343195266,0.730769230769231,0.384615384615385,0.11101111,0.115384615384615,1,10,10
"11","enfa",0.618343195266272,0.538461538461538,0.730769230769231,0.98681084,0.269230769230769,1,1,11
"12","enfa",0.673076923076923,1,0.346153846153846,0.96707198,0.346153846153846,1,2,12
"13","enfa",0.616863905325444,0.423076923076923,0.846153846153846,0.99270753,0.269230769230769,1,3,13
"14","enfa",0.605029585798817,0.884615384615385,0.461538461538462,0.98005783,0.346153846153846,1,4,14
"15","enfa",0.563609467455621,0.884615384615385,0.307692307692308,0.96643876,0.192307692307692,1,5,15
"16","enfa",0.467455621301775,1,0.115384615384615,0.92611892,0.115384615384615,1,6,16
"17","enfa",0.519230769230769,0.269230769230769,0.884615384615385,0.99526396,0.153846153846154,1,7,17
"18","enfa",0.597633136094675,0.923076923076923,0.346153846153846,0.96436133,0.269230769230769,1,8,18
"19","enfa",0.538461538461538,0.730769230769231,0.423076923076923,0.98676707,0.153846153846154,1,9,19
"20","enfa",0.732248520710059,0.730769230769231,0.692307692307692,0.99177434,0.423076923076923,1,10,20
"21","glm",0.724852071005917,0.692307692307692,0.769230769230769,0.57127889,0.461538461538462,1,1,21
"22","glm",0.649408284023669,0.846153846153846,0.5,0.5509379,0.346153846153846,1,2,22
"23","glm",0.649408284023669,0.884615384615385,0.461538461538462,0.53758723,0.346153846153846,1,3,23
"24","glm",0.624260355029586,0.846153846153846,0.5,0.55061895,0.346153846153846,1,4,24
"25","glm",0.646449704142012,0.615384615384615,0.692307692307692,0.57091532,0.307692307692308,1,5,25
"26","glm",0.630177514792899,0.730769230769231,0.5,0.55661924,0.230769230769231,1,6,26
"27","glm",0.671597633136095,0.730769230769231,0.615384615384615,0.56095689,0.346153846153846,1,7,27
"28","glm",0.670118343195266,0.653846153846154,0.692307692307692,0.56632536,0.346153846153846,1,8,28
"29","glm",0.702662721893491,0.961538461538462,0.384615384615385,0.54832255,0.346153846153846,1,9,29
"30","glm",0.681952662721893,0.961538461538462,0.346153846153846,0.54133612,0.307692307692308,1,10,30
"31","gam",0.745562130177515,0.692307692307692,0.807692307692308,0.60947673,0.5,1,1,31
"32","gam",0.593195266272189,0.461538461538462,0.846153846153846,0.61137009,0.307692307692308,1,2,32
"33","gam",0.584319526627219,0.692307692307692,0.538461538461538,0.60509027,0.230769230769231,1,3,33
"34","gam",0.591715976331361,0.538461538461538,0.730769230769231,0.61243393,0.269230769230769,1,4,34
"35","gam",0.665680473372781,0.5,0.807692307692308,0.60941196,0.307692307692308,1,5,35
"36","gam",0.708579881656805,0.692307692307692,0.730769230769231,0.60942057,0.423076923076923,1,6,36
"37","gam",0.715976331360947,0.730769230769231,0.653846153846154,0.60693873,0.384615384615385,1,7,37
"38","gam",0.633136094674556,0.576923076923077,0.692307692307692,0.61018508,0.269230769230769,1,8,38
"39","gam",0.701183431952663,0.653846153846154,0.769230769230769,0.6109141,0.423076923076923,1,9,39
"40","gam",0.637573964497041,0.461538461538462,0.846153846153846,0.61369233,0.307692307692308,1,10,40
"41","maxent",0.75,0.807692307692308,0.692307692307692,0.51086827,0.5,1,1,41
"42","maxent",0.701183431952663,0.576923076923077,0.846153846153846,0.45845612,0.423076923076923,1,2,42
"43","maxent",0.72189349112426,0.653846153846154,0.769230769230769,0.41615894,0.423076923076923,1,3,43
"44","maxent",0.640532544378698,0.692307692307692,0.615384615384615,0.43107889,0.307692307692308,1,4,44
"45","maxent",0.707100591715976,0.653846153846154,0.769230769230769,0.48644394,0.423076923076923,1,5,45
"46","maxent",0.702662721893491,0.807692307692308,0.615384615384615,0.37290856,0.423076923076923,1,6,46
"47","maxent",0.718934911242604,0.653846153846154,0.769230769230769,0.47728868,0.423076923076923,1,7,47
"48","maxent",0.683431952662722,0.653846153846154,0.769230769230769,0.51978353,0.423076923076923,1,8,48
"49","maxent",0.767751479289941,0.5,0.961538461538462,0.63175855,0.461538461538462,1,9,49
"50","maxent",0.729289940828402,0.653846153846154,0.769230769230769,0.48282584,0.423076923076923,1,10,50
"51","rf",0.744082840236686,0.807692307692308,0.692307692307692,0.40876802,0.5,1,1,51
"52","rf",0.715976331360947,0.615384615384615,0.807692307692308,0.53954362,0.423076923076923,1,2,52
"53","rf",0.650887573964497,0.923076923076923,0.346153846153846,0.29159832,0.269230769230769,1,3,53
"54","rf",0.636094674556213,0.538461538461538,0.769230769230769,0.58274412,0.307692307692308,1,4,54
"55","rf",0.71301775147929,0.538461538461538,0.846153846153846,0.58491968,0.384615384615385,1,5,55
"56","rf",0.696745562130177,0.576923076923077,0.884615384615385,0.61289123,0.461538461538461,1,6,56
"57","rf",0.769230769230769,0.576923076923077,0.884615384615385,0.56036688,0.461538461538461,1,7,57
"58","rf",0.744082840236686,0.884615384615385,0.576923076923077,0.39170883,0.461538461538461,1,8,58
"59","rf",0.659763313609467,0.615384615384615,0.730769230769231,0.5859902,0.346153846153846,1,9,59
"60","rf",0.674556213017751,0.846153846153846,0.461538461538462,0.37426978,0.307692307692308,1,10,60
