"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.62396694214876,0.363636363636364,1,0.1999,0.363636363636364,1,1,1
"2","bioclim",0.851239669421488,0.818181818181818,0.818181818181818,0.1999,0.636363636363636,1,2,2
"3","bioclim",0.413223140495868,1,0,-1e-04,0,1,3,3
"4","bioclim",0.669421487603306,0.909090909090909,0.545454545454545,0.0999,0.454545454545455,1,4,4
"5","bioclim",0.818181818181818,0.636363636363636,1,0.0999,0.636363636363636,1,5,5
"6","bioclim",0.793388429752066,0.727272727272727,0.818181818181818,0.0999,0.545454545454545,1,6,6
"7","bioclim",0.533057851239669,0.454545454545455,0.636363636363636,0.0999,0.0909090909090908,1,7,7
"8","bioclim",0.818181818181818,0.636363636363636,1,0.0999,0.636363636363636,1,8,8
"9","bioclim",0.805785123966942,0.909090909090909,0.727272727272727,0.0999,0.636363636363636,1,9,9
"10","bioclim",0.714876033057851,0.545454545454545,0.818181818181818,0.0999,0.363636363636364,1,10,10
"11","enfa",0.297520661157025,0.909090909090909,0.181818181818182,0.95587563,0.0909090909090908,1,1,11
"12","enfa",0.173553719008264,1,0,0.95110651,0,1,2,12
"13","enfa",0.462809917355372,1,0.181818181818182,0.94440294,0.181818181818182,1,3,13
"14","enfa",0.380165289256198,0.909090909090909,0.363636363636364,0.9759763,0.272727272727273,1,4,14
"15","enfa",0.256198347107438,0.909090909090909,0.181818181818182,0.95527161,0.0909090909090908,1,5,15
"16","enfa",0.347107438016529,1,0.181818181818182,0.96137482,0.181818181818182,1,6,16
"17","enfa",0.43801652892562,0.818181818181818,0.363636363636364,0.97530055,0.181818181818182,1,7,17
"18","enfa",0.471074380165289,1,0.272727272727273,0.96830279,0.272727272727273,1,8,18
"19","enfa",0.371900826446281,1,0.272727272727273,0.96682985,0.272727272727273,1,9,19
"20","enfa",0.429752066115702,1,0.0909090909090909,0.96482614,0.0909090909090908,1,10,20
"21","glm",0.87603305785124,1,0.727272727272727,0.74710237,0.727272727272727,1,1,21
"22","glm",0.867768595041322,0.909090909090909,0.818181818181818,0.74968597,0.727272727272727,1,2,22
"23","glm",0.735537190082645,0.636363636363636,0.818181818181818,0.75385364,0.454545454545455,1,3,23
"24","glm",0.892561983471074,1,0.727272727272727,0.74677171,0.727272727272727,1,4,24
"25","glm",0.867768595041322,1,0.818181818181818,0.74849372,0.818181818181818,1,5,25
"26","glm",0.884297520661157,1,0.727272727272727,0.74866719,0.727272727272727,1,6,26
"27","glm",0.661157024793388,0.818181818181818,0.454545454545455,0.74569751,0.272727272727273,1,7,27
"28","glm",0.884297520661157,0.909090909090909,0.818181818181818,0.74672258,0.727272727272727,1,8,28
"29","glm",0.900826446280992,1,0.727272727272727,0.74753281,0.727272727272727,1,9,29
"30","glm",0.826446280991736,0.636363636363636,1,0.75243651,0.636363636363636,1,10,30
"31","gam",0.776859504132231,0.636363636363636,0.818181818181818,0.77789954,0.454545454545455,1,1,31
"32","gam",0.818181818181818,0.818181818181818,0.727272727272727,0.77760874,0.545454545454545,1,2,32
"33","gam",0.702479338842975,0.909090909090909,0.636363636363636,0.77754403,0.545454545454545,1,3,33
"34","gam",0.768595041322314,0.727272727272727,0.636363636363636,0.77759637,0.363636363636364,1,4,34
"35","gam",0.87603305785124,1,0.727272727272727,0.77755406,0.727272727272727,1,5,35
"36","gam",0.776859504132231,0.636363636363636,0.727272727272727,0.77827118,0.363636363636364,1,6,36
"37","gam",0.743801652892562,0.454545454545455,0.727272727272727,0.77845536,0.181818181818182,1,7,37
"38","gam",0.900826446280992,0.818181818181818,0.818181818181818,0.77771204,0.636363636363636,1,8,38
"39","gam",0.900826446280992,1,0.727272727272727,0.77752563,0.727272727272727,1,9,39
"40","gam",0.917355371900826,1,0.727272727272727,0.77752752,0.727272727272727,1,10,40
"41","maxent",0.933884297520661,0.818181818181818,1,0.44607688,0.818181818181818,1,1,41
"42","maxent",0.87603305785124,0.909090909090909,0.818181818181818,0.12421282,0.727272727272727,1,2,42
"43","maxent",0.685950413223141,0.636363636363636,0.909090909090909,0.29392401,0.545454545454545,1,3,43
"44","maxent",0.859504132231405,0.727272727272727,0.909090909090909,0.38361422,0.636363636363636,1,4,44
"45","maxent",0.933884297520661,0.909090909090909,0.909090909090909,0.18467616,0.818181818181818,1,5,45
"46","maxent",0.917355371900826,0.909090909090909,0.909090909090909,0.27448807,0.818181818181818,1,6,46
"47","maxent",0.677685950413223,0.636363636363636,0.818181818181818,0.13851971,0.454545454545455,1,7,47
"48","maxent",0.884297520661157,0.909090909090909,0.818181818181818,0.10085308,0.727272727272727,1,8,48
"49","maxent",0.892561983471074,1,0.727272727272727,0.14136366,0.727272727272727,1,9,49
"50","maxent",0.884297520661157,0.818181818181818,0.818181818181818,0.15816555,0.636363636363636,1,10,50
"51","rf",0.727272727272727,1,0.363636363636364,0.29821327,0.363636363636364,1,1,51
"52","rf",0.84297520661157,1,0.636363636363636,0.38073901,0.636363636363636,1,2,52
"53","rf",0.619834710743802,0.727272727272727,0.545454545454545,0.42778639,0.272727272727273,1,3,53
"54","rf",0.900826446280992,1,0.727272727272727,0.4343254,0.727272727272727,1,4,54
"55","rf",0.818181818181818,0.909090909090909,0.727272727272727,0.37547426,0.636363636363636,1,5,55
"56","rf",0.818181818181818,1,0.545454545454545,0.30626129,0.545454545454545,1,6,56
"57","rf",0.661157024793388,0.636363636363636,0.727272727272727,0.45441192,0.363636363636364,1,7,57
"58","rf",0.859504132231405,1,0.727272727272727,0.3778216,0.727272727272727,1,8,58
"59","rf",0.851239669421488,1,0.727272727272727,0.49820656,0.727272727272727,1,9,59
"60","rf",0.793388429752066,1,0.454545454545455,0.22621702,0.454545454545455,1,10,60
