"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.522135416666667,0.395833333333333,0.6875,0.20398163,0.0833333333333333,1,1,1
"2","bioclim",0.50886524822695,0.361702127659574,0.708333333333333,0.26520612,0.0700354609929079,1,2,2
"3","bioclim",0.478515625,0.166666666666667,0.875,0.28561429,0.0416666666666667,1,3,3
"4","bioclim",0.469414893617021,0.574468085106383,0.520833333333333,0.14275714,0.0953014184397163,1,4,4
"5","bioclim",0.501551418439716,0.361702127659574,0.6875,0.2243898,0.0492021276595744,1,5,5
"6","bioclim",0.467420212765957,0.51063829787234,0.5625,0.16316531,0.0731382978723403,1,6,6
"7","bioclim",0.577473958333333,0.6875,0.458333333333333,0.10194082,0.145833333333333,1,7,7
"8","bioclim",0.490248226950355,0.914893617021277,0.145833333333333,0.02030816,0.06072695035461,1,8,8
"9","bioclim",0.541666666666667,0.895833333333333,0.229166666666667,0.04071633,0.125,1,9,9
"10","bioclim",0.458998226950355,0.361702127659574,0.708333333333333,0.24479796,0.0700354609929079,1,10,10
"11","enfa",0.522135416666667,1,0.104166666666667,0.96014822,0.104166666666667,1,1,11
"12","enfa",0.512854609929078,0.893617021276596,0.270833333333333,0.98310284,0.164450354609929,1,2,12
"13","enfa",0.525173611111111,0.958333333333333,0.145833333333333,0.97126986,0.104166666666667,1,3,13
"14","enfa",0.55718085106383,0.893617021276596,0.291666666666667,0.98190375,0.185283687943262,1,4,14
"15","enfa",0.547872340425532,0.851063829787234,0.333333333333333,0.98192857,0.184397163120567,1,5,15
"16","enfa",0.502216312056738,0.829787234042553,0.270833333333333,0.98386342,0.100620567375886,1,6,16
"17","enfa",0.547743055555556,1,0.125,0.94990048,0.125,1,7,17
"18","enfa",0.489804964539007,0.936170212765957,0.145833333333333,0.97583628,0.0820035460992907,1,8,18
"19","enfa",0.549913194444444,0.833333333333333,0.291666666666667,0.97886602,0.125,1,9,19
"20","enfa",0.476507092198582,0.872340425531915,0.229166666666667,0.98419764,0.101507092198582,1,10,20
"21","glm",0.723090277777778,0.791666666666667,0.604166666666667,0.74738234,0.395833333333333,1,1,21
"22","glm",0.710106382978723,0.680851063829787,0.6875,0.75016232,0.368351063829787,1,2,22
"23","glm",0.665364583333333,0.770833333333333,0.5,0.74435858,0.270833333333333,1,3,23
"24","glm",0.731382978723404,0.851063829787234,0.541666666666667,0.74539135,0.392730496453901,1,4,24
"25","glm",0.699024822695035,0.765957446808511,0.583333333333333,0.74613513,0.349290780141844,1,5,25
"26","glm",0.712322695035461,0.617021276595745,0.770833333333333,0.75663842,0.387854609929078,1,6,26
"27","glm",0.69921875,0.541666666666667,0.8125,0.75885442,0.354166666666667,1,7,27
"28","glm",0.681737588652482,0.425531914893617,0.875,0.76263748,0.300531914893617,1,8,28
"29","glm",0.728732638888889,0.6875,0.708333333333333,0.75033983,0.395833333333333,1,9,29
"30","glm",0.734929078014184,0.595744680851064,0.833333333333333,0.75801022,0.429078014184397,1,10,30
"31","gam",0.702256944444444,0.541666666666667,0.8125,0.45947048,0.354166666666667,1,1,31
"32","gam",0.765070921985816,0.574468085106383,0.895833333333333,0.4576228,0.470301418439716,1,2,32
"33","gam",0.748263888888889,0.916666666666667,0.479166666666667,0.44848523,0.395833333333333,1,3,33
"34","gam",0.804964539007092,0.808510638297872,0.791666666666667,0.45762351,0.600177304964539,1,4,34
"35","gam",0.766400709219858,0.723404255319149,0.708333333333333,0.45494508,0.431737588652482,1,5,35
"36","gam",0.80186170212766,0.914893617021277,0.5625,0.45063304,0.477393617021276,1,6,36
"37","gam",0.680555555555556,0.645833333333333,0.666666666666667,0.45601655,0.3125,1,7,37
"38","gam",0.717641843971631,0.595744680851064,0.770833333333333,0.46124306,0.366578014184397,1,8,38
"39","gam",0.775607638888889,0.770833333333333,0.708333333333333,0.45133938,0.479166666666667,1,9,39
"40","gam",0.817375886524823,0.702127659574468,0.854166666666667,0.45999834,0.556294326241135,1,10,40
"41","maxent",0.741753472222222,0.625,0.791666666666667,0.40507025,0.416666666666667,1,1,41
"42","maxent",0.769503546099291,0.851063829787234,0.604166666666667,0.20299563,0.455230496453901,1,2,42
"43","maxent",0.775173611111111,0.604166666666667,0.833333333333333,0.48850136,0.4375,1,3,43
"44","maxent",0.863475177304965,0.765957446808511,0.895833333333333,0.51721754,0.661790780141844,1,4,44
"45","maxent",0.796542553191489,0.531914893617021,0.979166666666667,0.5727854,0.511081560283688,1,5,45
"46","maxent",0.80895390070922,0.617021276595745,0.875,0.4523022,0.492021276595745,1,6,46
"47","maxent",0.739149305555556,0.791666666666667,0.604166666666667,0.20801096,0.395833333333333,1,7,47
"48","maxent",0.76063829787234,0.808510638297872,0.645833333333333,0.3268523,0.454343971631206,1,8,48
"49","maxent",0.807291666666667,0.729166666666667,0.770833333333333,0.39850431,0.5,1,9,49
"50","maxent",0.784131205673759,0.893617021276596,0.604166666666667,0.31135647,0.497783687943262,1,10,50
"51","rf",0.711371527777778,0.5625,0.895833333333333,0.62610694,0.458333333333333,1,1,51
"52","rf",0.80718085106383,0.638297872340426,0.875,0.5603223,0.513297872340426,1,2,52
"53","rf",0.815538194444444,0.770833333333333,0.708333333333333,0.3846516,0.479166666666667,1,3,53
"54","rf",0.828457446808511,0.74468085106383,0.8125,0.48805609,0.55718085106383,1,4,54
"55","rf",0.813164893617021,0.74468085106383,0.854166666666667,0.53970823,0.598847517730496,1,5,55
"56","rf",0.871897163120567,0.808510638297872,0.9375,0.59349861,0.746010638297872,1,6,56
"57","rf",0.76953125,0.604166666666667,0.895833333333333,0.62156316,0.5,1,7,57
"58","rf",0.820035460992908,0.808510638297872,0.708333333333333,0.56376355,0.516843971631206,1,8,58
"59","rf",0.837239583333333,0.6875,0.916666666666667,0.59039146,0.604166666666667,1,9,59
"60","rf",0.856826241134752,0.808510638297872,0.8125,0.51742364,0.621010638297872,1,10,60
