"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.525,0.6,0.55,0.16656667,0.15,1,1,1
"2","bioclim",0.52875,0.75,0.4,0.05545556,0.15,1,2,2
"3","bioclim",0.621052631578947,0.684210526315789,0.55,0.05545556,0.23421052631579,1,3,3
"4","bioclim",0.572368421052632,0.210526315789474,1,0.44434444,0.210526315789474,1,4,4
"5","bioclim",0.68,0.35,0.95,0.33323333,0.3,1,5,5
"6","bioclim",0.51875,0.65,0.5,0.16656667,0.15,1,6,6
"7","bioclim",0.70625,0.65,0.65,0.16656667,0.3,1,7,7
"8","bioclim",0.52625,0.75,0.4,0.05545556,0.15,1,8,8
"9","bioclim",0.543421052631579,0.210526315789474,1,0.55545556,0.210526315789474,1,9,9
"10","bioclim",0.59875,0.85,0.45,0.11101111,0.3,1,10,10
"11","enfa",0.4925,0.5,0.6,0.99467827,0.1,1,1,11
"12","enfa",0.6375,0.85,0.5,0.9828565,0.35,1,2,12
"13","enfa",0.5,0.263157894736842,0.85,0.99328808,0.113157894736842,1,3,13
"14","enfa",0.465789473684211,0.789473684210526,0.3,0.99206409,0.0894736842105264,1,4,14
"15","enfa",0.5275,0.9,0.4,0.97781263,0.3,1,5,15
"16","enfa",0.6125,0.85,0.4,0.99104779,0.25,1,6,16
"17","enfa",0.6875,0.8,0.55,0.98119635,0.35,1,7,17
"18","enfa",0.58,0.8,0.5,0.97917371,0.3,1,8,18
"19","enfa",0.513157894736842,0.526315789473684,0.6,0.99426288,0.126315789473684,1,9,19
"20","enfa",0.6125,0.5,0.75,0.99501141,0.25,1,10,20
"21","glm",0.795,0.8,0.7,0.64759264,0.5,1,1,21
"22","glm",0.6725,0.9,0.45,0.63288745,0.35,1,2,22
"23","glm",0.786842105263158,0.631578947368421,0.9,0.65219682,0.531578947368421,1,3,23
"24","glm",0.852631578947368,0.684210526315789,0.95,0.64949283,0.63421052631579,1,4,24
"25","glm",0.7475,0.75,0.75,0.64597121,0.5,1,5,25
"26","glm",0.6875,0.95,0.4,0.63896011,0.35,1,6,26
"27","glm",0.655,0.65,0.65,0.65003651,0.3,1,7,27
"28","glm",0.64,0.8,0.6,0.6436028,0.4,1,8,28
"29","glm",0.652631578947368,0.736842105263158,0.55,0.6472159,0.286842105263158,1,9,29
"30","glm",0.785,0.85,0.65,0.6436304,0.5,1,10,30
"31","gam",0.845,0.8,0.9,0.59374996,0.7,1,1,31
"32","gam",0.73,0.6,0.8,0.58974453,0.4,1,2,32
"33","gam",0.657894736842105,0.842105263157895,0.5,0.5829959,0.342105263157895,1,3,33
"34","gam",0.836842105263158,0.894736842105263,0.75,0.58666497,0.644736842105263,1,4,34
"35","gam",0.7825,0.75,0.75,0.58726059,0.5,1,5,35
"36","gam",0.735,1,0.35,0.58256381,0.35,1,6,36
"37","gam",0.7475,0.7,0.85,0.59054967,0.55,1,7,37
"38","gam",0.6725,0.55,0.85,0.59081261,0.4,1,8,38
"39","gam",0.752631578947368,0.789473684210526,0.75,0.58965287,0.539473684210526,1,9,39
"40","gam",0.78,0.8,0.7,0.58889545,0.5,1,10,40
"41","maxent",0.83,0.85,0.8,0.52891465,0.65,1,1,41
"42","maxent",0.7375,0.65,0.8,0.37705051,0.45,1,2,42
"43","maxent",0.755263157894737,0.684210526315789,0.9,0.27665155,0.58421052631579,1,3,43
"44","maxent",0.823684210526316,0.736842105263158,1,0.5049382,0.736842105263158,1,4,44
"45","maxent",0.7875,0.75,0.85,0.35393821,0.6,1,5,45
"46","maxent",0.785,0.8,0.75,0.32042657,0.55,1,6,46
"47","maxent",0.7725,0.75,0.85,0.45418714,0.6,1,7,47
"48","maxent",0.735,0.65,0.85,0.48731058,0.5,1,8,48
"49","maxent",0.734210526315789,0.736842105263158,0.8,0.4545262,0.536842105263158,1,9,49
"50","maxent",0.815,0.8,0.75,0.37838932,0.55,1,10,50
"51","rf",0.8,0.65,0.95,0.7145,0.6,1,1,51
"52","rf",0.725,0.65,0.8,0.54633333,0.45,1,2,52
"53","rf",0.689473684210526,0.421052631578947,1,0.73643333,0.421052631578947,1,3,53
"54","rf",0.886842105263158,0.684210526315789,0.95,0.53606667,0.63421052631579,1,4,54
"55","rf",0.83,0.75,0.85,0.48243333,0.6,1,5,55
"56","rf",0.785,0.6,0.95,0.64266667,0.55,1,6,56
"57","rf",0.8325,0.65,1,0.62793333,0.65,1,7,57
"58","rf",0.685,0.45,0.95,0.59956667,0.4,1,8,58
"59","rf",0.726315789473684,0.526315789473684,0.95,0.80386667,0.476315789473684,1,9,59
"60","rf",0.76625,0.6,0.9,0.60296667,0.5,1,10,60
