"","Model","AUC","TPR","TNR","threshold","TSS","PA","RUN","ID"
"1","bioclim",0.613636363636364,0.272727272727273,0.916666666666667,0.32422432,0.189393939393939,1,1,1
"2","bioclim",0.663194444444444,0.416666666666667,1,0.24314324,0.416666666666667,1,2,2
"3","bioclim",0.527777777777778,0.25,1,0.24314324,0.25,1,3,3
"4","bioclim",0.4375,0.166666666666667,0.916666666666667,0.24314324,0.0833333333333333,1,4,4
"5","bioclim",0.527777777777778,0.416666666666667,0.833333333333333,0.24314324,0.25,1,5,5
"6","bioclim",0.645833333333333,0.333333333333333,1,0.32422432,0.333333333333333,1,6,6
"7","bioclim",0.319444444444444,1,0,-1e-04,0,1,7,7
"8","bioclim",0.611111111111111,0.833333333333333,0.333333333333333,0.08098108,0.166666666666667,1,8,8
"9","bioclim",0.618055555555556,0.25,1,0.32422432,0.25,1,9,9
"10","bioclim",0.534722222222222,0.666666666666667,0.5,0.16206216,0.166666666666667,1,10,10
"11","enfa",0.393939393939394,1,0.0833333333333333,0.96353861,0.0833333333333333,1,1,11
"12","enfa",0.451388888888889,1,0.25,0.98454195,0.25,1,2,12
"13","enfa",0.465277777777778,0.75,0.416666666666667,0.9945282,0.166666666666667,1,3,13
"14","enfa",0.569444444444444,1,0.166666666666667,0.97490616,0.166666666666667,1,4,14
"15","enfa",0.541666666666667,0.916666666666667,0.333333333333333,0.98600099,0.25,1,5,15
"16","enfa",0.465277777777778,1,0.166666666666667,0.98947021,0.166666666666667,1,6,16
"17","enfa",0.479166666666667,0.75,0.416666666666667,0.98937546,0.166666666666667,1,7,17
"18","enfa",0.534722222222222,0.25,1,0.99897214,0.25,1,8,18
"19","enfa",0.229166666666667,1,0.0833333333333333,0.9770662,0.0833333333333333,1,9,19
"20","enfa",0.611111111111111,0.916666666666667,0.416666666666667,0.99300262,0.333333333333333,1,10,20
"21","glm",0.545454545454545,0.545454545454545,0.666666666666667,0.70989835,0.212121212121212,1,1,21
"22","glm",0.75,0.583333333333333,0.833333333333333,0.70859896,0.416666666666667,1,2,22
"23","glm",0.736111111111111,1,0.416666666666667,0.69862001,0.416666666666667,1,3,23
"24","glm",0.75,0.666666666666667,0.833333333333333,0.70611733,0.5,1,4,24
"25","glm",0.569444444444444,0.75,0.583333333333333,0.70599857,0.333333333333333,1,5,25
"26","glm",0.763888888888889,0.833333333333333,0.666666666666667,0.70548952,0.5,1,6,26
"27","glm",0.5625,0.833333333333333,0.333333333333333,0.70053685,0.166666666666667,1,7,27
"28","glm",0.770833333333333,0.833333333333333,0.666666666666667,0.70411998,0.5,1,8,28
"29","glm",0.722222222222222,0.666666666666667,0.75,0.70501484,0.416666666666667,1,9,29
"30","glm",0.638888888888889,0.333333333333333,1,0.71324619,0.333333333333333,1,10,30
"31","gam",0.575757575757576,0.363636363636364,0.916666666666667,0.55759232,0.28030303030303,1,1,31
"32","gam",0.805555555555556,0.666666666666667,0.916666666666667,0.55585709,0.583333333333333,1,2,32
"33","gam",0.777777777777778,1,0.5,0.55209017,0.5,1,3,33
"34","gam",0.777777777777778,0.833333333333333,0.666666666666667,0.55463605,0.5,1,4,34
"35","gam",0.743055555555556,0.833333333333333,0.583333333333333,0.55433684,0.416666666666667,1,5,35
"36","gam",0.791666666666667,0.833333333333333,0.666666666666667,0.55723333,0.5,1,6,36
"37","gam",0.708333333333333,0.583333333333333,0.833333333333333,0.55743694,0.416666666666667,1,7,37
"38","gam",0.819444444444444,0.666666666666667,0.916666666666667,0.55794562,0.583333333333333,1,8,38
"39","gam",0.534722222222222,0.75,0.333333333333333,0.5518334,0.0833333333333333,1,9,39
"40","gam",0.6875,0.583333333333333,0.833333333333333,0.55747029,0.416666666666667,1,10,40
"41","maxent",0.689393939393939,0.818181818181818,0.666666666666667,0.14728733,0.484848484848485,1,1,41
"42","maxent",0.986111111111111,0.916666666666667,1,0.29224892,0.916666666666667,1,2,42
"43","maxent",0.743055555555556,1,0.583333333333333,0.08533175,0.583333333333333,1,3,43
"44","maxent",0.784722222222222,0.833333333333333,0.75,0.15758532,0.583333333333333,1,4,44
"45","maxent",0.625,0.833333333333333,0.5,0.13937935,0.333333333333333,1,5,45
"46","maxent",0.840277777777778,0.916666666666667,0.75,0.13723831,0.666666666666667,1,6,46
"47","maxent",0.604166666666667,0.666666666666667,0.666666666666667,0.09170053,0.333333333333333,1,7,47
"48","maxent",0.784722222222222,0.833333333333333,0.75,0.21260376,0.583333333333333,1,8,48
"49","maxent",0.791666666666667,0.833333333333333,0.75,0.15517199,0.583333333333333,1,9,49
"50","maxent",0.715277777777778,0.833333333333333,0.583333333333333,0.12539044,0.416666666666667,1,10,50
"51","rf",0.568181818181818,0.363636363636364,0.916666666666667,0.65703333,0.28030303030303,1,1,51
"52","rf",0.805555555555556,1,0.5,0.2257,0.5,1,2,52
"53","rf",0.791666666666667,0.833333333333333,0.666666666666667,0.4117,0.5,1,3,53
"54","rf",0.798611111111111,0.916666666666667,0.666666666666667,0.41893333,0.583333333333333,1,4,54
"55","rf",0.763888888888889,0.416666666666667,1,0.7861,0.416666666666667,1,5,55
"56","rf",0.847222222222222,0.75,1,0.6715,0.75,1,6,56
"57","rf",0.722222222222222,1,0.416666666666667,0.2416,0.416666666666667,1,7,57
"58","rf",0.819444444444444,0.583333333333333,1,0.7224,0.583333333333333,1,8,58
"59","rf",0.625,0.416666666666667,0.833333333333333,0.72653333,0.25,1,9,59
"60","rf",0.756944444444444,0.583333333333333,0.916666666666667,0.6245,0.5,1,10,60
